三沙市,1515151,271,0.926199262,三沙市,海南省,三线及以下,111.8030745,17.66900147,华南
上海市,23019196,5156782,0.952150004,上海市,上海市,一线,121.4470776,31.1957381,华东
临沧市,2429497,64059,0.957882577,临沧市,云南省,三线及以下,99.67064162,23.93765366,西南
丽江市,1244769,68709,0.959131991,丽江市,云南省,三线及以下,100.5223761,26.9399769,西南
保山市,2506491,89186,0.965936358,保山市,云南省,三线及以下,98.97018584,24.9766729,西南
昆明市,6432209,1020429,0.958340071,昆明市,云南省,二线,102.8723902,25.38545297,西南
昭通市,5213521,127946,0.96485236,昭通市,云南省,三线及以下,103.9976063,27.65223296,西南
普洱市,2542898,78841,0.956456666,普洱市,云南省,三线及以下,100.7142342,23.18338593,西南
曲靖市,5855055,178728,0.963950808,曲靖市,云南省,三线及以下,103.9388539,25.70190853,西南
玉溪市,2303518,121902,0.964241768,玉溪市,云南省,三线及以下,102.1989796,24.13803652,西南
乌兰察布市,2143590,85527,0.94080232,乌兰察布市,内蒙古自治区,三线及以下,112.455912,41.68388547,华北
乌海市,532902,49043,0.929266154,乌海市,内蒙古自治区,三线及以下,106.8896526,39.41870327,华北
包头市,2650364,240248,0.934750758,包头市,内蒙古自治区,三线及以下,110.2577664,41.54870863,华北
呼伦贝尔市,2549252,145263,0.925954992,呼伦贝尔市,内蒙古自治区,三线及以下,121.1627046,49.64984174,华北
呼和浩特市,2866615,380233,0.933995734,呼和浩特市,内蒙古自治区,三线及以下,111.4998901,40.58934316,华北
巴彦淖尔市,1669915,90617,0.938753214,巴彦淖尔市,内蒙古自治区,三线及以下,107.5597704,41.44858,华北
赤峰市,4341245,192698,0.935531246,赤峰市,内蒙古自治区,三线及以下,118.8792969,43.20331164,华北
通辽市,3139153,134047,0.93607466,通辽市,内蒙古自治区,三线及以下,121.5771335,43.81837567,华北
鄂尔多斯市,1940653,154570,0.924526105,鄂尔多斯市,内蒙古自治区,三线及以下,108.619313,39.40757353,华北
北京市,19612368,5746913,0.915635925,北京市,北京市,一线,116.4106532,40.18364019,华北
吉林市,4413157,1282369,0.971811546,吉林市,吉林省,三线及以下,126.8469971,43.5794176,东北
四平市,3385156,4,1,四平市,吉林省,三线及以下,124.4740184,43.57022234,东北
松原市,2880086,0,0,松原市,吉林省,三线及以下,124.472488,44.80023575,东北
白城市,2032356,0,0,白城市,吉林省,三线及以下,123.0109093,45.34331239,东北
白山市,1296127,12,0.916666667,白山市,吉林省,三线及以下,127.2868228,42.06745913,东北
辽源市,1176239,0,0,辽源市,吉林省,三线及以下,125.3056245,42.81002948,东北
通化市,2324439,0,0,通化市,吉林省,三线及以下,125.9495989,41.95255792,东北
长春市,7674439,1093806,0.970378659,长春市,吉林省,三线及以下,125.7643053,44.38207574,东北
乐山市,3235759,192361,0.970014712,乐山市,四川省,三线及以下,103.5671094,29.20990151,西南
内江市,3702847,167022,0.974021386,内江市,四川省,三线及以下,104.9103064,29.64110195,西南
南充市,6278614,301648,0.973900042,南充市,四川省,三线及以下,106.202723,31.19495864,西南
宜宾市,4471896,228201,0.970394521,宜宾市,四川省,三线及以下,104.6333754,28.57355141,西南
巴中市,3283148,116278,0.975936979,巴中市,四川省,三线及以下,107.0374027,32.01664419,西南
广元市,2484122,112787,0.970900902,广元市,四川省,三线及以下,105.7807315,32.26157186,西南
广安市,3205476,155460,0.975987392,广安市,四川省,三线及以下,106.6641255,30.4266135,西南
德阳市,3615758,238915,0.970073039,德阳市,四川省,三线及以下,104.4317329,31.13342459,西南
成都市,14047625,2865078,0.965407574,成都市,四川省,二线,103.8238444,30.70123797,西南
攀枝花市,1214121,75262,0.965812761,攀枝花市,四川省,三线及以下,101.7301879,26.80648033,西南
泸州市,4218427,218248,0.969594223,泸州市,四川省,三线及以下,105.6660566,28.43973552,西南
眉山市,2950545,167867,0.972061215,眉山市,四川省,三线及以下,103.7489454,29.9263803,西南
绵阳市,4613871,357857,0.97042394,绵阳市,四川省,三线及以下,104.7047992,31.84814646,西南
自贡市,2678899,149561,0.974097525,自贡市,四川省,三线及以下,104.6821297,29.28762159,西南
资阳市,3665057,102172,0.973848021,资阳市,四川省,三线及以下,104.9513497,30.18132495,西南
达州市,5468097,207494,0.975859543,达州市,四川省,三线及以下,107.6415441,31.36424734,西南
遂宁市,3252619,143376,0.974082134,遂宁市,四川省,三线及以下,105.4712571,30.63189282,西南
雅安市,1507258,87142,0.971093158,雅安市,四川省,三线及以下,102.663208,29.91459365,西南
天津市,12938693,2410936,0.946904439,天津市,天津市,二线,117.3267275,39.30633233,华北
中卫市,1080832,38740,0.935054208,中卫市,宁夏回族自治区,三线及以下,105.4742162,37.04187964,西北
吴忠市,1273792,59174,0.936796566,吴忠市,宁夏回族自治区,三线及以下,106.5426352,37.45753745,西北
固原市,1228156,43240,0.936702128,固原市,宁夏回族自治区,三线及以下,106.180875,35.95133072,西北
石嘴山市,725482,45367,0.936231181,石嘴山市,宁夏回族自治区,三线及以下,106.5171069,39.00759401,西北
银川市,1993088,282995,0.927613562,银川市,宁夏回族自治区,三线及以下,106.3554898,38.22707681,西北
亳州市,4850657,211988,0.979885654,亳州市,安徽省,三线及以下,116.1829426,33.43441311,华东
六安市,5611701,255091,0.9773571,六安市,安徽省,三线及以下,116.3139815,31.75515523,华东
合肥市,5702466,1281353,0.97365363,合肥市,安徽省,三线及以下,117.2479076,31.99500815,华东
安庆市,5311379,262549,0.978415458,安庆市,安徽省,三线及以下,116.5944505,30.6092329,华东
宣城市,2532938,167401,0.974701465,宣城市,安徽省,三线及以下,118.8521992,30.68525049,华东
宿州市,5352924,232441,0.978786015,宿州市,安徽省,三线及以下,117.2138179,33.8580475,华东
池州市,1402518,90134,0.975935829,池州市,安徽省,三线及以下,117.3638539,30.28262131,华东
淮北市,2114276,132308,0.976524473,淮北市,安徽省,三线及以下,116.7428891,33.72666728,华东
